序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2493,605066,天正电气,8.3,1.22,0.1,106805.0,87853381.0,2.8,8.32,8.09,8.22,8.2,1.09,2.13,29.87,2.35,4189426038.0,4170194938.0,0.0,-0.12,4.53,13.7
2494,002592,ST八菱,8.28,1.22,0.1,41552.0,34158470.16,3.67,8.38,8.08,8.18,8.18,0.69,1.58,20.07,2.5,2345981980.0,2175141394.0,0.0,-0.12,-7.59,-0.24
2495,002269,美邦服饰,1.66,1.22,0.02,382265.0,63280990.0,1.83,1.67,1.64,1.65,1.64,0.77,1.52,-45.34,22.19,4170750000.0,4170750000.0,0.61,0.0,-17.41,-12.17
2496,603375,盛景微,39.73,1.22,0.48,16760.0,66445294.0,3.24,40.17,38.9,39.24,39.25,0.98,2.63,155.81,2.53,3999486680.0,2534016309.0,0.0,-0.3,4.28,8.85
2497,603194,中力股份,34.1,1.22,0.41,12571.0,42670484.0,1.66,34.16,33.6,33.77,33.69,1.08,0.8,14.97,2.59,13674100000.0,5388717733.0,-0.06,0.0,-14.54,-13.25
2498,603069,海汽集团,17.63,1.21,0.21,39055.0,68386558.0,2.07,17.68,17.32,17.52,17.42,1.24,1.24,-86.85,6.88,5571080000.0,5571080000.0,-0.06,-0.11,-25.77,-35.06
2499,002212,天融信,7.55,1.21,0.09,199857.0,150478932.07,1.47,7.57,7.46,7.52,7.46,1.12,1.71,-28.36,0.96,8904876786.0,8809716994.0,-0.13,-0.13,-23.51,-16.76
2500,300753,爱朋医疗,28.48,1.21,0.34,35547.0,100314687.76,2.77,28.58,27.8,28.16,28.14,1.01,4.04,-234.44,5.28,3589847040.0,2503556073.0,0.0,0.07,-28.41,2.63
2501,600547,山东黄金,39.25,1.21,0.47,400422.0,1561061984.0,2.66,39.43,38.4,38.88,38.78,0.93,1.11,38.18,5.85,180939733856.0,141866901370.0,0.03,0.0,-15.17,1.39
2502,603098,森特股份,14.25,1.21,0.17,55271.0,78126538.0,1.99,14.28,14.0,14.0,14.08,0.68,1.03,59.91,2.72,7690724687.0,7677899687.0,0.0,-0.07,1.5,2.44
2503,000668,*ST荣控,15.08,1.21,0.18,29912.0,44407075.6,3.56,15.09,14.56,14.9,14.9,1.21,2.04,84.69,2.91,2214375701.0,2214375701.0,0.07,0.4,28.56,53.56
2504,603199,九华旅游,38.44,1.21,0.46,34254.0,130649687.0,2.9,38.65,37.55,37.85,37.98,1.16,3.09,19.99,2.58,4254539200.0,4254539200.0,0.03,0.08,0.23,4.57
2505,605016,百龙创园,26.71,1.21,0.32,57207.0,152883600.0,2.43,26.94,26.3,26.38,26.39,0.52,1.36,23.26,5.39,11218529067.0,11218529067.0,-0.15,-0.11,29.28,23.66
2506,002747,埃斯顿,20.97,1.21,0.25,97517.0,204267595.94,1.01,21.02,20.81,20.81,20.72,0.93,1.25,451.27,9.31,20294733559.0,16407025049.0,-0.05,-0.24,-16.42,-11.52
2507,600536,中国软件,37.75,1.21,0.45,97039.0,365753880.0,1.34,37.9,37.4,37.4,37.3,1.09,1.15,-254.11,10.0,35250443546.0,31848010036.0,0.03,0.05,-22.88,-18.47
2508,300883,龙利得,6.7,1.21,0.08,159398.0,106178864.0,2.27,6.74,6.59,6.61,6.62,1.29,4.82,-294.88,1.64,2318200000.0,2215519653.0,0.45,0.3,-0.45,-0.74
